Transporteur;Gare origine;Gare origine - code UIC;Gare destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;LE MANS;87396002;MEUSE TGV;87147322;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;MACON LOCHE TGV;87725705;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Avantage;17.0;119.0
TGV INOUI;VENDOME VILLIERS SUR LOIR;87571216;TGV HAUTE PICARDIE;87313882;1;Tarif Réglementé;117.26;117.26
TGV INOUI;LE MANS;87396002;PLOUARET TREGOR;87473181;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;ANGERS ST LAUD;87484006;ARRAS;87342014;1;Tarif Avantage;20.5;119.0
TGV INOUI;AEROPORT CDG2 TGV ROISSY;87271494;NANTES;87481002;1;Tarif Avantage;17.0;118.0
TGV INOUI;LIBOURNE;87584052;ST PIERRE DES CORPS;87571240;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;ARRAS;87342014;FUTUROSCOPE;87324095;1;Tarif Avantage;20.5;119.0
TGV INOUI;VERSAILLES CHANTIERS;87393009;NANTES;87481002;1;Tarif Avantage;17.0;118.0
TGV INOUI;LILLE EUROPE;87223263;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;ARRAS;87342014;ST PIERRE DES CORPS;87571240;1;Tarif Avantage;20.5;119.0
TGV INOUI;ANGERS ST LAUD;87484006;AEROPORT CDG2 TGV ROISSY;87271494;1;Tarif Réglementé;118.27;118.27
TGV INOUI;LILLE FLANDRES;87286005;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;DOUAI;87345009;ST PIERRE DES CORPS;87571240;1;Tarif Avantage;20.5;119.0
TGV INOUI;ANGERS ST LAUD;87484006;PARIS MONTPARNASSE 3 VAUGIRARD;87391102;1;Tarif Réglementé;118.27;118.27
TGV INOUI;LILLE FLANDRES;87286005;MASSY TGV;87393702;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;FUTUROSCOPE;87324095;DOUAI;87345009;1;Tarif Avantage;20.5;119.0
TGV INOUI;AVIGNON TGV;87318964;BEAUNE;87713545;1;Tarif Réglementé;118.27;118.27
TGV INOUI;LIMOGES BENEDICTINS;87592006;LES AUBRAIS;87543017;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;LYON PERRACHE;87722025;MELUN;87682005;1;Tarif Avantage;20.5;119.0
TGV INOUI;AVIGNON TGV;87318964;ECOLE VALENTIN;87710731;1;Tarif Réglementé;118.27;118.27
TGV INOUI;LISON;87447219;MASSY PALAISEAU;87393579;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;SARREBOURG;87215012;1;Tarif Avantage;20.5;119.0
TGV INOUI;AVIGNON TGV;87318964;MONTBELIARD VILLE;87184523;1;Tarif Réglementé;118.27;118.27
TGV INOUI;LORRAINE TGV;87142109;MARNE LA VALLEE CHESSY;87111849;2;Tarif Elève - Etudiant - Apprenti;18.0;18.0
